,w5_p_outcome,w5_hhid,pid,w5_p_proxyassent,w5_p_intrv_d,w5_p_intrv_m,w5_p_intrv_y,w5_p_intrv_c,w5_p_refexpl,w5_p_refexpl_o,w5_p_refint,w5_p_refgen,w5_p_refage,w5_p_respid,w5_p_resprox,w5_p_resprox_o,w5_p_sample,w5_p_duration,w5_p_dob_m,w5_p_dob_y,w5_p_gen,w5_p_popgrp,w5_p_popgrp_o,w5_p_parhpid,w5_p_mar,w5_p_mary_m,w5_p_mary_l,w5_p_evmar,w5_p_curmarst,w5_p_timewid,w5_p_timediv,w5_p_lng,w5_p_lng_o,w5_p_slpw,w5_p_slpm,w5_p_lvevoth,w5_p_brnprov,w5_p_brnprov_flg,w5_p_brndc_2001,w5_p_brndc_2001_flg,w5_p_brndc_2011,w5_p_brndc_2011_flg,w5_p_brncc,w5_p_brncc_flg,w5_p_lv94prov,w5_p_lv94prov_flg,w5_p_lv15prov,w5_p_lv15prov_flg,w5_p_moveyr,w5_p_lvbfprov,w5_p_lvbfdc_2001,w5_p_lvbfdc_2011,w5_p_lvbfcc,w5_p_emactcur,w5_p_emactcur_o,w5_p_em1occ_isco_c,w5_p_em1prod_c,w5_p_em1inc_brac1,w5_p_em1inc_brac2,w5_p_em1inc_brac3,w5_p_em1inc_brac4,w5_p_em1inc_brac5,w5_p_em1inc_brac6,w5_p_em1inc_cat,w5_p_incgovpen,w5_p_incgovpen_v,w5_p_incdis,w5_p_incdis_v,w5_p_incchld,w5_p_incchld_v,w5_p_incfos,w5_p_incfos_v,w5_p_inccare,w5_p_inccare_v,w5_p_incaid,w5_p_incaid_v,w5_p_incwar,w5_p_incwar_v,w5_p_incuif,w5_p_incuif_v,w5_p_incwc,w5_p_incwc_v,w5_p_incpfnd,w5_p_incpfnd_v,w5_p_incret,w5_p_incret_v,w5_p_incretp,w5_p_incretp_v,w5_p_incrnt,w5_p_incrnt_v,w5_p_incint,w5_p_incint_v,w5_p_incretr,w5_p_incretr_v,w5_p_incinh,w5_p_incinh_v,w5_p_inclob,w5_p_inclob_v,w5_p_incgif,w5_p_incgif_v,w5_p_incloan,w5_p_incloan_v,w5_p_incsale,w5_p_incsale_v,w5_p_inco,w5_p_inco_o,w5_p_inco_v,w5_p_grcur,w5_p_grcurtyp,w5_p_grcurecpid,w5_p_grcurecrel,w5_p_edschgrd,w5_p_edschgrd_flg,w5_p_edschgrd_o,w5_p_edschyr,w5_p_edschyr_flg,w5_p_edschage,w5_p_edter,w5_p_edter_flg,w5_p_edterlev,w5_p_edterlev_o,w5_p_edteryr,w5_p_ed17cur,w5_p_ed17curatt,w5_p_ed17curlev,w5_p_ed17curlev_o,w5_p_ed17cursub,w5_p_ed17cursub_o,w5_p_ed17curmat,w5_p_ed17wdex,w5_p_hldes,w5_p_hltb,w5_p_hlbp,w5_p_hldia,w5_p_hlstrk,w5_p_hlast,w5_p_hlhrt,w5_p_hlcan,w5_p_hlser,w5_p_hlser1,w5_p_hlser2,w5_p_hlser3,w5_p_hlser4,w5_p_hlser_o,w5_p_hlvisaid,w5_p_hlhraid,w5_p_intlng1,w5_p_intlng2,w5_p_intlng3,w5_p_intlng4,w5_p_intresp,w5_p_intrespact,w5_p_intresphear,w5_p_intrespque,w5_p_intresppid1,w5_p_intresppid2,w5_p_intresppid3,w5_p_intrvinfo
10,Successfully Interviewed,500067,722300,Yes,6th,July,2017.0,142,,,,,,304129.0,Permanently too unwell or disabled,,2008 sample,11.0,October,1996.0,Male,African,,"No, no spouse or partner",,,,No,,,,Sepedi,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1540.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Surveyed,,,,,,,,,,,,,,,,,,Poor,No,No,No,No,No,No,No,Yes,Physically handicapped,,,,,No,No,Sepedi,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
11,Successfully Interviewed,500073,501580,Yes,3rd,July,2017.0,83,,,,,,312023.0,Permanently too unwell or disabled,,2008 sample,16.0,June,1992.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1500.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Response from historical data,,,,,,,,,,,,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,English,,,Friendly,Somewhat attentive,1+ persons within hearing range for part of the interview,Yes,406881.0,,,Good
12,Successfully Interviewed,500076,602062,Yes,15th,July,2017.0,11,,,,,,611437.0,Away on business/for work,,2017 sample,14.0,February,1971.0,Female,African,,611437.0,Formally married,21.0,,,,,,Sepedi,,7 Nights,30 Nights,Yes,Limpopo,Surveyed,Sekhukhune Cross Boundary District Municipality,Surveyed,Greater Sekhukhune (DC47),Surveyed,,,Gauteng,Surveyed,Gauteng,Surveyed,1990.0,Gauteng,City Of Tshwane Metropolitan Municipality,City of Tshwane (TSH),,Self-employed,,Managers,Manufacturing,More than,,Less than,,,,"R3,001-R5,999",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,1989.0,Surveyed,,Yes,Surveyed,Bachelors Degree,,1994.0,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,Yes,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
13,Successfully Interviewed,500077,713350,Yes,26th,August,2017.0,77,,,,,,306027.0,Refused but allowed a proxy,,2008 sample,21.0,October,1980.0,Male,African,,306027.0,Living together,,7.0,No,,,,Sesotho,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Working for pay,,Service and sales workers,"Financial intermediation, insurance, real estate and business services",More than,,About equal to,,,,"R6,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,Refused,Sepedi,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
14,Successfully Interviewed,500081,411939,Yes,9th,November,2017.0,49,,,,,,322746.0,Temporarily away from home for other reasons  (specify),"His Family Do Not Know His Whereabouts,He Left On Monday Saying He Is Visiting Family But The Other Family Do Not Know Where He Is.His Grandmother Told Me That He Does Not Want To Work So They Found A Job For Him, She Assume That He Ran Away Be",2008 sample,20.0,February,1994.0,Male,Coloured,,"No, no spouse or partner",,,,No,,,,Afrikaans,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,Unemployed and actively searching for a job in the last four weeks,,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 9 (Std. 7/Form 2),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,No,No,,,,,,,Excellent,Yes,No,No,No,No,No,No,No,,,,,,No,No,English,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
15,Successfully Interviewed,500085,633293,Yes,27th,July,2017.0,75,,,,,,679529.0,Temporarily away from home for other reasons  (specify),The Child Was At School.,2017 sample,9.0,January,1999.0,Female,African,,Don't Know,,,,,,,,IsiXhosa,,7 Nights,30 Nights,Yes,Gauteng,Surveyed,City Of Johannesburg Metropolitan Municipality,Surveyed,City of Johannesburg (JHB),Surveyed,,,,,Gauteng,Surveyed,2007.0,Gauteng,City Of Johannesburg Metropolitan Municipality,City of Johannesburg (JHB),,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 10 (Std. 8/Form 3),Surveyed,,2016.0,Surveyed,,No,Surveyed,,,,Yes,,Grade 11 (Std. 9/Form 4),,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,Afrikaans,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
16,Successfully Interviewed,500094,407585,Yes,29th,March,2017.0,56,,,,,,315371.0,Studying away from home,,2008 sample,17.0,February,1995.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,0 Nights,0 Nights,No,,,,,,,,,,,,,,,,,,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2013.0,Surveyed,,No,Surveyed,,,,Yes,,Bachelors Degree,,Medical services (incl. dentistry),,"Yes, with matric exemption",,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,English,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
17,Successfully Interviewed,500094,407586,Yes,29th,March,2017.0,56,,,,,,315371.0,Studying away from home,,2008 sample,10.0,January,1998.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,0 Nights,0 Nights,No,,,,,,,,,,,,,,,,,,"Full-time scholar or student at school, university, college or another educational institution",,,,,,,,,,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2015.0,Surveyed,,No,Surveyed,,,,Yes,,Bachelors Degree,,Commerce/management,,"Yes, with matric exemption",,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,English,,,Friendly,Very attentive,No other person within hearing range at any time,Yes,407587.0,,,Very good
18,Successfully Interviewed,500095,735281,Yes,22nd,February,2017.0,71,,,,,,735954.0,Away on business/for work,,2008 sample,21.0,January,1986.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiXhosa,,4 Nights,18 Nights,Yes,Eastern Cape,Surveyed,Amatole District Municipality,Surveyed,Amathole (DC12),Surveyed,,,Western Cape,Surveyed,Missing,Derived,Don't know,Western Cape,Don't Know,Don't Know,,Working for pay,,Service and sales workers,"Community, social and personal services",More than,,More than,,About equal to,,"R12,000",No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,Don't know,,No,,No,,No,,Don't know,,Don't know,,No,,,,,,,Grade 12 (Std. 10/Matric/Senior Certificate/Form 5),Surveyed,,2005.0,Surveyed,,Yes,Surveyed,Certificate not requiring Grade 12/Std. 10,,2007.0,,,,,,,,,Excellent,No,No,No,No,No,No,No,No,,,,,,No,No,IsiXhosa,,,,Friendly,Very attentive,1+ persons within hearing range for part of the interview,No,,,,Very good
19,Successfully Interviewed,500099,317379,Yes,15th,May,2017.0,37,,,,,,313782.0,Unable to be contacted,,2008 sample,-3.0,September,1990.0,Male,African,,"No, partner not part of this household",,,,No,,,,IsiZulu,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,Working for pay,,Service and sales workers,"Community, social and personal services",Don't know,,,,,,Don't Know,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 10 (Std. 8/Form 3),Surveyed,,Don't know,Surveyed,20.0,No,Surveyed,,,,No,No,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
20,Successfully Interviewed,500099,582820,Yes,15th,May,2017.0,37,,,,,,313782.0,Unable to be contacted,,2008 sample,6.0,September,1958.0,Male,African,,313782.0,Formally married,31.0,,,,,,IsiZulu,,7 Nights,31 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1600.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 4 (Std. 2),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,Yes,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Good
21,Successfully Interviewed,500099,720788,Yes,15th,April,2017.0,37,,,,,,313782.0,Permanently too unwell or disabled,,2008 sample,34.0,April,1979.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1500.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 4 (Std. 2),Surveyed,,Don't know,Surveyed,Don't know,No,Surveyed,,,,,,,,,,,,Good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
22,Successfully Interviewed,500099,720789,Yes,15th,April,2017.0,37,,,,,,313782.0,Permanently too unwell or disabled,,2008 sample,8.0,October,1976.0,Female,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1500.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,No schooling,Surveyed,,,,,,,,,,,,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
23,Successfully Interviewed,500105,501994,Yes,21st,October,2017.0,11,,,,,,323697.0,Refused but allowed a proxy,,2008 sample,9.0,October,1969.0,Male,Coloured,,323697.0,Formally married,20.0,,,,,,Afrikaans,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Self-employed,,Professionals,"Community, social and personal services",Refused,,,,,,Refused,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Grade 10 (Std. 8/Form 3),Surveyed,,1987.0,Surveyed,,No,Surveyed,,,,,,,,,,,,Very good,No,No,No,No,No,No,No,No,,,,,,No,No,Afrikaans,,,,Friendly,Very attentive,No other person within hearing range at any time,No,,,,Very good
24,Successfully Interviewed,500110,312341,Yes,11th,February,2017.0,98,,,,,,706157.0,Permanently too unwell or disabled,,2008 sample,12.0,January,1988.0,Male,African,,"No, no spouse or partner",,,,No,,,,IsiZulu,,7 Nights,30 Nights,No,,,,,,,,,,,,,,,,,,Long term sick or disabled,,,,,,,,,,,No,,Yes,1500.0,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,No,,,,,,,Don't know,Surveyed,,Missing,Surveyed,,No,Surveyed,,,,No,No,,,,,,,Poor,No,No,No,No,No,No,No,No,,,,,,No,No,IsiZulu,,,,Friendly,Very attentive,No other person within hearing range at any time,Yes,706157.0,314092.0,,Very good
